source_name,grupa,page,matched_id,matched_naziv,status,match_type,kcal,p_g,m_g,uh_g,holesterol_mg,suggestions
SVEŽ KRAVLJI SIR - kvark,MLEKO I MLEČNI PROIZVODI,2,,,review,,73.4,12.4,1.0,2.7,4.0,
SIRNI NAMAZ 30% M.M.,SIR BILJNOG POREKLA,2,,,review,,223.4,20.0,15.0,1.0,50.0,
EDAMER SIR 40% M.M.,SIR BILJNOG POREKLA,2,,,review,,345.0,30.0,25.0,0.0,83.0,
GROŽžE belo,VOĆE I VOĆNI PROIZVOD,2,,,review,,60.0,0.6,0.0,15.3,0.0,
GROŽžE crno,VOĆE I VOĆNI PROIZVOD,2,,,review,,54.0,0.5,0.1,13.5,0.0,
GROŽžICE,VOĆE I VOĆNI PROIZVOD,2,,,review,,246.0,1.1,0.0,64.4,0.0,
NARANDŽA - sveža,VOĆE I VOĆNI PROIZVOD,2,narandza,narandža,applied,manual,48.0,0.7,0.2,11.0,,narandze:narandže:0.73 | narandza:narandža:0.73
LIMUN - svež,VOĆE I VOĆNI PROIZVOD,2,,,review,,43.0,0.7,0.5,9.0,,
JAGODE,VOĆE I VOĆNI PROIZVOD,2,jagode,jagode,applied,exact,26.0,0.6,0.0,6.2,0.0,jagode:jagode:1.00
KUPINE,VOĆE I VOĆNI PROIZVOD,2,,,review,,29.0,1.3,0.0,6.4,0.0,
MALINE,VOĆE I VOĆNI PROIZVOD,2,maline,maline,applied,exact,25.0,0.9,0.0,5.6,0.0,maline:maline:1.00
RIBIZLE,VOĆE I VOĆNI PROIZVOD,2,,,review,,21.0,1.1,0.0,4.4,0.0,
JABUKA,VOĆE I VOĆNI PROIZVOD,2,jabuka,jabuka,applied,exact,40.0,0.0,0.0,10.0,0.0,jabuka:jabuka:1.00 | jabuke:jabuke:0.83
KRUŠKA,VOĆE I VOĆNI PROIZVOD,2,kruska,kruška,applied,exact,29.0,0.2,0.0,7.6,0.0,kruska:kruška:1.00 | kruske:kruške:0.83
BRESKVA,VOĆE I VOĆNI PROIZVOD,2,,,review,,37.0,0.6,0.0,9.1,0.0,breskve:breskve:0.86
BRESKVA - NEKTARINA (glatka),VOĆE I VOĆNI PROIZVOD,2,,,review,,50.0,0.9,0.0,12.4,0.0,
ŠLJIVE,VOĆE I VOĆNI PROIZVOD,2,sljive,šljive,applied,exact,38.0,0.6,0.0,9.6,0.0,sljive:šljive:1.00
TREŠNJE,VOĆE I VOĆNI PROIZVOD,2,,,review,,48.0,0.8,0.1,11.7,0.0,
VIŠNJE,VOĆE I VOĆNI PROIZVOD,2,,,review,,41.0,0.8,0.0,10.2,0.0,
BANANA,VOĆE I VOĆNI PROIZVOD,2,banana,banana,applied,exact,79.0,1.1,0.3,19.2,0.0,banana:banana:1.00 | banane:banane:0.83
